id,year,yob,sex,age,h_rxi1,h_rxi2,h_rxc,h_lxi1,h_lxi2,h_lxc,h_rni1,h_lni1,h_rni2,h_lni2,h_rnc,h_lnc
128,2007,NA,1,47,2,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA
1799,2007,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1755,2007,NA,1,40,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA
507,2007,NA,1,21,1,0,0,1,0,0,2,2,2,2,0,0
10,2007,NA,1,29,2,2,2,2,2,2,0,0,0,0,0,0
358,2007,NA,1,38,2,2,2,2,2,2,0,0,0,NA,0,0
209,2007,NA,1,43,2,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA
867,2007,NA,1,56,2,2,1,2,2,1,NA,NA,0,0,0,0
366,2007,NA,1,54,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA
1849,2007,1972,2,35,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA
1789,2007,1971,2,36,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
502,2007,NA,1,31,0,0,0,0,0,0,0,0,0,0,0,0
444444C,2007,NA,1,25,0,0,0,0,0,0,0,0,0,0,0,0
136,2007,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,2007,NA,1,29,1,1,1,1,1,1,0,0,0,0,0,0
186,2007,1979,1,30,0,0,1,0,0,1,0,0,0,0,0,0
314,2007,NA,1,25,1,1,1,1,1,1,0,0,0,0,0,0
861,2007,NA,1,30,1,2,0,1,2,0,0,0,NA,0,0,0
559,2007,NA,1,52,1,1,NA,1,1,NA,0,0,0,0,0,0
859,2007,NA,1,26,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA
1718,2007,NA,2,25,0,0,0,0,0,0,0,0,0,0,0,0
721,2007,NA,2,45,1,1,1,1,1,1,0,0,0,0,0,0
292,2007,NA,2,37,2,0,2,2,NA,2,0,0,0,0,0,0
196,2007,NA,2,32,2,2,2,2,2,2,0,0,0,0,0,0
1105,2007,NA,2,50,2,1,2,2,1,2,0,0,0,0,0,0
710,2007,NA,2,24,1,1,1,1,1,1,0,0,0,0,0,0
192,2007,NA,2,39,1,1,0,1,1,0,0,0,0,0,0,0
1140,2007,NA,2,21,1,0,0,1,0,0,0,0,0,0,0,0
1,2007,NA,2,25,2,2,2,2,2,2,0,0,0,0,0,0
1095,2007,1983,2,24,2,NA,2,2,1,2,NA,0,0,0,0,0
1096,2007,1984,2,23,1,1,2,1,1,2,0,0,0,0,0,0
302,2007,NA,2,37,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
301,2007,NA,2,29,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
178,2007,NA,2,22,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
117,2007,NA,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1529,2007,NA,2,26,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
450,2007,NA,2,78,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1085,2007,NA,2,33,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
