Publication ID,Title,PubYear,DOI
pub.1047057649,"Demography of the Hadza, an increasing and high density population of savanna foragers",1992,10.1002/ajpa.1330890204
pub.1031178809,Is Human Ovulation Concealed? Evidence from Conception Beliefs in a Hunter-Gatherer Society,2004,10.1023/b:aseb.0000037423.84026.1f
pub.1153620386,Relationship between proximity and physiological stress levels in hunter-gatherers: The Hadza,2022,10.1016/j.yhbeh.2022.105294
pub.1122015741,Postpartum Maternal Mood Among Hadza Foragers of Tanzania: A Mixed Methods Approach,2019,10.1007/s11013-019-09655-4
pub.1042107622,Tubers as fallback foods and their impact on Hadza hunter‐gatherers,2009,10.1002/ajpa.21040
pub.1130315450,Status does not predict stress: Women in an egalitarian hunter–gatherer society,2020,10.1017/ehs.2020.44
pub.1017587600,The patriarch hypothesis,2000,10.1007/s12110-000-1001-7
pub.1125044447,Microbiome researcher accused of sexual misconduct,2020,10.1126/science.367.6480.837
pub.1058858007,Allomaternal nursing in humans.,2014,10.1086/675657
pub.1092813108,Love Influences Reproductive Success in Humans,2017,10.3389/fpsyg.2017.01922
pub.1085218676,"Waist-to-hip ratio, body-mass index, age and number of children in seven traditional societies",2017,10.1038/s41598-017-01916-9
pub.1014626414,What is segmented sleep? Actigraphy field validation for daytime sleep and nighttime wake,2016,10.1016/j.sleh.2016.09.006
pub.1036150454,Notes on Hadza cosmology,2015,10.3828/hgr.2015.13
pub.1110182751,Who Tends Hadza Children?,2017,10.4324/9780203789445-13
pub.1058524478,"Hadza Women's Time Allocation, Offspring Provisioning, and the Evolution of Long Postmenopausal Life Spans",1997,10.1086/204646
pub.1006154413,Baby Fever and Longing for Children,2013,10.1057/9781137030399_15
pub.1053715095,Hadza gender rituals – epeme and maitoko – considered as counterparts,2015,10.3828/hgr.2015.18
pub.1042494099,Composition of Tubers Used by Hadza Foragers of Tanzania,2001,10.1006/jfca.2000.0961
pub.1143587302,History and Overview of the Menopause Experience,2021,10.1007/978-3-030-85484-3_1
